사건번호,법원,물건번호,물건주소,용도,비고,감정평가액,감정가_원,입찰기일,유찰횟수_입찰란,링크,진행상태,최저입찰가_표시,최저입찰가_원,최저입찰가율,유찰횟수,유찰횟수_원문
2023타경12462,수원지방법원,1,"경기도 수원시 영통구 봉영로1770번길 21 214동 4층405호 (영통동,한국아파트)[집합건물 철근콘크리트 벽식구조
59.95㎡]",지도,,"335,000,000",335000000,2026.04.20,0,moveDtlPage(0),아파트,"234,500,000(70%)",234500000,70.0,1,유찰 1회
2024타경3939,수원지방법원,1,"경기도 수원시 영통구 영통로 460 315동 7층703호 (영통동,동신아파트)[집합건물 철근콘크리트조
164.76㎡]",지도,,"1,016,000,000",1016000000,2026.04.24,0,moveDtlPage(1),아파트,"1,016,000,000(100%)",1016000000,100.0,0,신건
2024타경4215,수원지방법원,1,"경기도 용인시 기흥구 구성로64번길 25 3층307호 (언남동,까사90)[집합건물 철큰콘크리트구조 41.13㎡]",지도,매수인에게 대항할 수 있는 임차인이 있음.  배당에서 보증금이 전액 변제되지 아니하면 잔액을 매수인이 인수함,"278,000,000",278000000,2026.04.24,0,moveDtlPage(2),아파트,"7,853,000(2%)",7853000,2.0,10,유찰 10회
2024타경8248,수원지방법원,1,"경기도 용인시 기흥구 동탄기흥로785번길 31 102동 2층201호 (고매동,메종블루아)[집합건물 철근콘크리트구조 207.14㎡]",지도,대지권의 목적인 토지에 별도등기 있음(토지 을구 11번 구분지상권설정등기).,"941,000,000",941000000,2026.04.22,0,moveDtlPage(3),아파트,"941,000,000(100%)",941000000,100.0,0,신건
2024타경10548,수원지방법원,1,"경기도 용인시 수지구 동천로153번길 6 1411동 6층601호 (동천동,한빛마을래미안이스트팰리스4단지)[집합건물 철근콘크리트구조
199.21㎡]",지도,,"1,510,000,000",1510000000,2026.04.21,0,moveDtlPage(4),아파트,"1,057,000,000(70%)",1057000000,70.0,1,유찰 1회
2024타경12834,수원지방법원,1,"경기도 용인시 기흥구 보정로 30 131동 19층1902호 (보정동,행원마을동아솔레시티아파트)[집합건물 철골철근콘크리트조
226.396㎡]",지도,,"1,330,000,000",1330000000,2026.04.29,0,moveDtlPage(5),아파트,"1,330,000,000(100%)",1330000000,100.0,0,신건
2024타경13585,수원지방법원,1,"경기도 용인시 기흥구 언남로 15 201동 10층1002호 (언남동,하마비마을동일하이빌2차아파트)[집합건물 철근콘크리트벽식조
109.838㎡]",지도,,"575,000,000",575000000,2026.04.20,0,moveDtlPage(6),아파트,"402,500,000(70%)",402500000,70.0,1,유찰 1회
2024타경13981,수원지방법원,1,"경기도 수원시 영통구 영통로174번길 12 202동 17층1701호 (망포동,그대가센트럴파크)[집합건물 철근콘크리트구조   129.4884㎡]",지도,,"970,000,000",970000000,2026.04.20,0,moveDtlPage(7),아파트,"679,000,000(70%)",679000000,70.0,1,유찰 1회
2024타경57592,수원지방법원,1,"경기도 용인시 기흥구 언남로 5 101동 20층2002호 (언남동,스파팰리스리가)[집합건물 철근콘크리트구조 190.81㎡]",지도,,"1,660,000,000",1660000000,2026.04.21,0,moveDtlPage(8),아파트,"1,162,000,000(70%)",1162000000,70.0,1,유찰 1회
2024타경62334,수원지방법원,1,경기도 오산시 역광장로 46-1 2층202호[집합건물 철근콘크리트조 28.6㎡],지도,"2019.03.14.자 접수 제54014호 든솔신용협동조합 명의의 근저당권에 대하여, 2025.05.09.자로 피담보채권이 없다는 계산서가 제출됨","97,000,000",97000000,2026.04.21,0,moveDtlPage(9),아파트,"33,271,000(34%)",33271000,34.0,3,유찰 3회
2024타경62334,수원지방법원,2,경기도 오산시 역광장로 46-1 3층302호[집합건물 철근콘크리트조 28.6㎡],지도,"2019.03.14.자 접수 제54014호 든솔신용협동조합 명의의 근저당권에 대하여, 2025.05.09.자로 피담보채권이 없다는 계산서가 제출됨","97,000,000",97000000,2026.04.21,0,moveDtlPage(0),아파트,"33,271,000(34%)",33271000,34.0,3,유찰 3회
2024타경62334,수원지방법원,4,경기도 오산시 역광장로 46-1 3층311호[집합건물 철근콘크리트조 23.14㎡],지도,"2019.03.14.자 접수 제54014호 든솔신용협동조합 명의의 근저당권에 대하여, 2025.05.09.자로 피담보채권이 없다는 계산서가 제출됨","74,000,000",74000000,2026.04.21,0,moveDtlPage(1),아파트,"25,382,000(34%)",25382000,34.0,3,유찰 3회
