전체,사건번호,물건번호,소재지 및 내역,비고,감정평가액,담당계매각기일(입찰기간),법원,감정평가액_원,용도,매각결과,매각금액,매각금액_원
수원지방법원2023타경91452023타경11438(중복),2023타경9145,1,"경기도 용인시 수지구 상현로 2 4704동 5층501호 (상현동,광교상현마을현대아파트)[집합건물 철근콘크리트조벽식구조
79.336㎡]",,"679,000,000",경매16계2026.04.15,수원지방법원,679000000,아파트,매각,"902,800,000",902800000
수원지방법원2023타경736272025타경55438(중복),2023타경73627,1,"경기도 용인시 기흥구 보정로 30 133동 18층1801호 (보정동,행원마을동아솔레시티아파트)[집합건물 철골철근콘크리트조
244.455㎡ 갑구 30번 2분의 1 정숙현 지분 전부]","지분매각, 공유자 우선매수권 행사 1회로 제한함(우선매수신청을 한 공유자는 당해 매각기일 종결 전까지 보증금을 제공하여야 하며, 매수신청권리를 행사하지 않는 경우에 차회 기일부터는 우선권이 없음)","733,000,000",경매14계2026.04.10,수원지방법원,733000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,2,"경기도 수원시 권선구 경수대로 406 8층801호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 13.84㎡]",,"136,000,000",경매14계2026.04.10,수원지방법원,136000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,3,"경기도 수원시 권선구 경수대로 406 8층802호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,4,"경기도 수원시 권선구 경수대로 406 8층803호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,5,"경기도 수원시 권선구 경수대로 406 8층804호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,6,"경기도 수원시 권선구 경수대로 406 8층805호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 14.06㎡]",,"142,000,000",경매14계2026.04.10,수원지방법원,142000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,7,"경기도 수원시 권선구 경수대로 406 8층806호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 14.06㎡]",,"142,000,000",경매14계2026.04.10,수원지방법원,142000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,8,"경기도 수원시 권선구 경수대로 406 8층807호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,9,"경기도 수원시 권선구 경수대로 406 8층808호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,10,"경기도 수원시 권선구 경수대로 406 8층809호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,11,"경기도 수원시 권선구 경수대로 406 8층810호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 16.9㎡]",,"162,000,000",경매14계2026.04.10,수원지방법원,162000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,12,"경기도 수원시 권선구 경수대로 406 9층901호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 13.84㎡]",,"136,000,000",경매14계2026.04.10,수원지방법원,136000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,14,"경기도 수원시 권선구 경수대로 406 9층903호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,15,"경기도 수원시 권선구 경수대로 406 9층904호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,16,"경기도 수원시 권선구 경수대로 406 9층905호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 14.06㎡]",,"142,000,000",경매14계2026.04.10,수원지방법원,142000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,17,"경기도 수원시 권선구 경수대로 406 9층906호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 14.06㎡]",,"142,000,000",경매14계2026.04.10,수원지방법원,142000000,아파트,유찰,,
